RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11
102001,United States,0,1318,1323,1328,1334,1339,1345,1350,1355,1361,1366,1372,1377,1383,1388,1393,1399,1404,1409,1414,1419,1425,1430,1435,1440,1445,1449,1454,1458,1462,1466,1470,1474,1478,1482,1486,1490,1493,1498,1502,1506,1510,1514,1518,1522,1526,1530,1535,1539,1543,1548,1552,1557,1561,1566,1571,1576,1581,1586,1590,1595,1600,1605,1610,1615,1619,1624,1629,1633,1637,1641,1643,1645,1647,1648,1648,1649,1650,1650,1651,1654,1656,1659,1668,1677,1685,1704,1722,1741,1760,1779,1798,1818,1838,1858,1879
394913,"New York, NY",1,2291,2301,2311,2322,2332,2342,2352,2362,2372,2382,2392,2402,2412,2421,2430,2439,2448,2457,2465,2473,2480,2487,2493,2498,2504,2508,2513,2517,2521,2525,2528,2532,2535,2539,2543,2547,2550,2554,2558,2562,2565,2568,2571,2573,2576,2579,2581,2584,2586,2590,2593,2596,2600,2604,2608,2613,2618,2623,2629,2635,2641,2646,2651,2657,2662,2666,2671,2675,2678,2682,2679,2676,2673,2660,2647,2634,2615,2597,2578,2561,2544,2526,2522,2517,2512,2532,2553,2573,2596,2619,2641,2667,2692,2717,2744
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1795,1806,1816,1827,1838,1849,1860,1870,1881,1892,1903,1914,1925,1935,1945,1956,1966,1977,1988,1999,2010,2021,2032,2043,2054,2065,2075,2085,2095,2105,2114,2124,2133,2143,2152,2161,2171,2180,2189,2199,2207,2216,2225,2233,2241,2249,2256,2264,2272,2279,2287,2295,2303,2311,2320,2328,2336,2344,2351,2359,2367,2374,2381,2388,2395,2402,2408,2414,2419,2424,2426,2427,2429,2427,2426,2425,2422,2420,2418,2418,2418,2418,2427,2435,2444,2465,2487,2509,2531,2554,2576,2600,2624,2648,2673
394463,"Chicago, IL",3,1412,1416,1419,1423,1427,1430,1434,1437,1441,1444,1448,1451,1455,1458,1462,1466,1470,1473,1477,1482,1486,1491,1496,1500,1505,1509,1513,1516,1519,1522,1525,1528,1530,1533,1536,1538,1541,1543,1546,1548,1551,1554,1556,1559,1562,1564,1567,1569,1572,1574,1577,1579,1582,1584,1587,1590,1593,1596,1599,1603,1606,1610,1613,1617,1621,1625,1628,1631,1635,1638,1639,1640,1641,1639,1637,1635,1632,1629,1625,1622,1620,1617,1619,1621,1623,1633,1643,1653,1663,1674,1684,1696,1707,1718,1730
394514,"Dallas-Fort Worth, TX",4,1136,1140,1143,1147,1151,1154,1158,1162,1165,1169,1173,1177,1181,1186,1191,1195,1200,1204,1209,1214,1218,1223,1228,1233,1238,1243,1248,1253,1259,1264,1269,1274,1279,1284,1289,1293,1298,1302,1306,1311,1315,1319,1323,1328,1332,1336,1339,1343,1347,1350,1354,1357,1361,1365,1368,1373,1377,1381,1385,1390,1394,1398,1403,1407,1411,1415,1419,1422,1425,1428,1430,1432,1434,1435,1437,1438,1440,1442,1444,1449,1454,1458,1469,1480,1490,1510,1530,1549,1570,1590,1610,1631,1652,1674,1696
394974,"Philadelphia, PA",5,1342,1345,1348,1350,1353,1356,1358,1361,1364,1367,1370,1373,1376,1379,1382,1385,1388,1392,1395,1399,1402,1406,1410,1413,1417,1420,1423,1426,1429,1433,1436,1438,1441,1444,1447,1449,1452,1454,1457,1460,1462,1465,1468,1471,1474,1477,1481,1484,1488,1491,1495,1499,1503,1507,1510,1515,1519,1523,1527,1532,1536,1540,1544,1548,1553,1557,1561,1564,1568,1571,1574,1576,1579,1581,1583,1585,1587,1589,1591,1594,1596,1599,1606,1612,1618,1630,1643,1655,1667,1680,1692,1706,1719,1732,1746
394692,"Houston, TX",6,1177,1183,1190,1197,1204,1210,1217,1223,1229,1236,1241,1247,1252,1256,1259,1263,1266,1269,1272,1274,1277,1279,1280,1282,1283,1283,1284,1284,1283,1283,1283,1282,1281,1281,1281,1280,1280,1281,1282,1284,1287,1290,1293,1297,1301,1305,1309,1313,1317,1321,1324,1328,1330,1333,1335,1337,1338,1340,1342,1344,1346,1348,1349,1351,1353,1355,1357,1359,1361,1362,1363,1363,1363,1363,1362,1362,1362,1362,1362,1363,1365,1366,1372,1378,1385,1397,1410,1423,1436,1449,1462,1476,1489,1503,1517
395209,"Washington, DC",7,1796,1799,1802,1805,1807,1810,1813,1816,1818,1821,1823,1826,1828,1830,1832,1834,1836,1839,1841,1844,1848,1851,1854,1857,1859,1862,1864,1867,1869,1871,1873,1876,1878,1881,1883,1886,1889,1892,1895,1898,1901,1903,1905,1907,1909,1912,1914,1917,1919,1922,1926,1929,1933,1938,1942,1947,1952,1957,1962,1967,1972,1976,1981,1986,1990,1994,1999,2002,2005,2008,2009,2009,2009,2006,2003,2000,1994,1989,1983,1978,1973,1968,1970,1972,1973,1987,2001,2015,2030,2045,2060,2077,2093,2109,2126
394856,"Miami-Fort Lauderdale, FL",8,1594,1602,1610,1618,1625,1633,1641,1649,1657,1665,1673,1681,1689,1697,1705,1713,1721,1729,1737,1745,1753,1761,1767,1774,1781,1785,1790,1795,1799,1802,1805,1808,1811,1814,1817,1819,1822,1826,1829,1833,1836,1840,1844,1848,1852,1856,1860,1864,1869,1873,1877,1882,1886,1891,1895,1900,1904,1909,1913,1918,1922,1926,1930,1934,1938,1942,1947,1951,1956,1960,1963,1967,1970,1972,1975,1978,1981,1985,1989,1998,2006,2015,2036,2056,2077,2116,2155,2195,2235,2276,2317,2360,2402,2445,2489
394347,"Atlanta, GA",9,1081,1084,1088,1092,1096,1100,1104,1108,1112,1116,1120,1125,1130,1134,1139,1144,1149,1154,1159,1164,1170,1175,1181,1186,1192,1198,1204,1210,1216,1222,1228,1234,1239,1245,1251,1256,1262,1268,1274,1279,1285,1291,1297,1303,1309,1315,1321,1327,1333,1340,1346,1352,1359,1366,1372,1379,1387,1394,1401,1408,1415,1421,1428,1434,1440,1445,1451,1456,1461,1465,1469,1473,1476,1481,1485,1489,1495,1502,1508,1518,1528,1539,1556,1574,1591,1619,1647,1674,1702,1730,1758,1787,1816,1845,1875
