observation_date,MORTGAGE30US
2014-05-08,4.21
2014-05-15,4.20
2014-05-22,4.14
2014-05-29,4.12
2014-06-05,4.14
2014-06-12,4.20
2014-06-19,4.17
2014-06-26,4.14
2014-07-03,4.12
2014-07-10,4.15
2014-07-17,4.13
2014-07-24,4.13
2014-07-31,4.12
2014-08-07,4.14
2014-08-14,4.12
2014-08-21,4.10
2014-08-28,4.10
2014-09-04,4.10
2014-09-11,4.12
2014-09-18,4.23
2014-09-25,4.20
2014-10-02,4.19
2014-10-09,4.12
2014-10-16,3.97
2014-10-23,3.92
2014-10-30,3.98
2014-11-06,4.02
2014-11-13,4.01
2014-11-20,3.99
2014-11-26,3.97
2014-12-04,3.89
2014-12-11,3.93
2014-12-18,3.80
2014-12-24,3.83
2014-12-31,3.87
2015-01-08,3.73
